nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian,lat,lon,competition_count,competition_density,dotace_had,dotace_last_year,dotace_total_czk,score_total,score_dotace,score_size,score_vz_gap,score_region,score_competition,pristup,pristup_label,priorita,rank
"Základní škola Lanškroun, náměstí Aloise Jiráska 139, okr. Ústí nad Orlicí",Základní škola,102642796,61234001,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Lanškroun,nám. J. M. Marků 80,56301,525.0,367,reditelka@zsaj.cz,,,Město Lanškroun,2,Mgr. Monika Dušková,2005-01-01,18111548.0,49.9114915,16.6109233,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1600
"Základní škola, Česká Skalice, okres Náchod",Základní škola,102254648,70987262,B00,Základní škola,Královéhradecký kraj,Náchod,Česká Skalice,Sportovní 38,55203,600.0,420,sekretariat@zscs.cz,,,Město Česká Skalice,2,Mgr. Iveta Beranová,2005-01-01,30144566.0,50.391185,16.0448863,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1601
"Základní škola Jaroměř, Na Ostrově 4, okres Náchod",Základní škola,102254737,70926336,B00,Základní škola,Královéhradecký kraj,Náchod,Jaroměř,Na Ostrově 4,55101,550.0,385,zsostrov@zsostrov.cz,,,Město Jaroměř,2,Mgr. David Horký,2005-01-01,7278560.0,50.3539735,15.9194976,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1602
"Základní škola Boženy Němcové Jaroměř, Husovo náměstí 352, okres Náchod",Základní škola Boženy Němcové,102254745,70926662,B00,Základní škola,Královéhradecký kraj,Náchod,Jaroměř,Husova 287,55101,560.0,392,zsbn@zsbn.cz,,,Město Jaroměř,2,Mgr. Hana Riegerová,2005-01-01,7280793.0,50.3539176,15.9140325,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1603
"Základní škola T. G. Masaryka Náchod, Bartoňova 1005",Základní škola T. G. Masaryka,102254800,00857611,B00,Základní škola,Královéhradecký kraj,Náchod,Náchod,Bartoňova 1005,54701,500.0,350,radka.lokvencova@zstgmnachod.cz,,,Město Náchod,2,Mgr. Radka Lokvencová,2005-01-01,7449658.0,50.4091238,16.1656488,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1604
"Základní škola Nové Město nad Metují, Komenského 15, okres Náchod",Základní škola,102254893,00857688,B00,Základní škola,Královéhradecký kraj,Náchod,Nové Město nad Metují,Komenského 15,54901,550.0,385,zskom@zskom.cz,,,Město Nové Město nad Metují,2,Ing. Eva Pelikánová,2005-01-01,7398158.0,50.3472275,16.1501575,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1605
"Základní škola Hradební, Broumov",Základní škola,102254907,48623008,B00,Základní škola,Královéhradecký kraj,Náchod,Broumov,Hradební 218,55001,500.0,350,hradebka@zshrbroumov.cz,,,Město Broumov,2,Mgr. Denisa Mádlová,2005-01-01,25977989.0,50.5850896,16.3307878,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1606
"Základní škola Ústí nad Orlicí, Třebovská 147",Základní škola,102642591,75018527,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Ústí nad Orlicí,Třebovská 147,56203,533.0,373,zstrebovska.uo@wo.cz,,,Město Ústí nad Orlicí,2,Mgr. Pavel Svatoš,2005-01-01,24728209.0,49.9597444,16.4053969,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1607
"Masarykova základní škola, Broumov, Komenského 312, okres Náchod",Masarykova základní škola,102254923,00857742,B00,Základní škola,Královéhradecký kraj,Náchod,Broumov,Komenského 312,55001,695.0,486,jan.vobornik@mzsbroumov.cz,,,Město Broumov,2,Mgr. Jan Voborník,2005-01-01,7394900.0,50.5896438,16.33111,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1608
"Základní škola a Mateřská škola, Police nad Metují, okres Náchod",Základní škola a Mateřská škola,102254958,70154309,B00,Základní škola,Královéhradecký kraj,Náchod,Police nad Metují,Na Babí 190,54954,650.0,454,zspolice@zspolice.cz,,,Město Police nad Metují,2,Mgr. Karel Nývlt,2005-01-01,7329644.0,50.5362225,16.23792,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1609
"Základní škola Ústí nad Orlicí, Bratří Čapků 1332",Základní škola,102642583,75018446,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Ústí nad Orlicí,Bratří Čapků 1332,56206,675.0,472,skola@zsbcuo.cz,,,Město Ústí nad Orlicí,2,Mgr. Martin Falta,2005-01-01,24748749.0,49.9754122,16.4034521,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1610
"Základní škola Jaroměř - Josefov, Vodárenská 370, okres Náchod",Základní škola,102254974,70932085,B00,Základní škola,Královéhradecký kraj,Náchod,Jaroměř,Vodárenská 370,55102,650.0,454,josefovska.zs@tiscali.cz,,,Město Jaroměř,2,Mgr. Lukáš Zvěřina,2005-01-01,7291736.0,50.3342817,15.9231783,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1611
"Základní škola Nové Město nad Metují, Školní 1000, okres Náchod",Základní škola,102718491,00857858,B00,Základní škola,Královéhradecký kraj,Náchod,Nové Město nad Metují,Školní 1000,54901,540.0,378,info@zsmaleci.cz,,,Město Nové Město nad Metují,2,Mgr. Jaroslava Broumová,2005-01-01,7407866.0,50.356085,16.1448438,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1612
"Základní škola Náchod - Plhov, Příkopy 1186",Základní škola,102718504,70154287,B00,Základní škola,Královéhradecký kraj,Náchod,Náchod,Příkopy 1186,54701,530.0,371,zsplhov@zsplhov.cz,,,Město Náchod,2,Mgr. Petra Horáková,2005-01-01,7451466.0,50.4246226,16.1626725,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1613
"Základní škola Přelouč, Smetanova 1509, okres Pardubice",Základní škola,000191051,00191051,B00,Základní škola,Pardubický kraj,Pardubice,Přelouč,Smetanova 1509,53501,680.0,475,skola@zssmprelouc.cz,,,Město Přelouč,2,Mgr. Magda Pacáková,2005-01-01,7763387.0,50.0351976,15.5602163,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1614
"Základní škola Pardubice-Spořilov, Kotkova 1287",Základní škola,042938554,42938554,B00,Základní škola,Pardubický kraj,Pardubice,Pardubice,Kotkova 1287,53003,540.0,378,skola@zs-sporilov.eu,,,Statutární město Pardubice,2,Mgr. Martin Fiala,2005-01-01,7788614.0,50.0384711,15.7920485,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1615
"Základní škola Ústí nad Orlicí, Komenského 11",Základní škola,102642567,75018365,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Ústí nad Orlicí,Komenského 11,56201,630.0,441,zskome.uo@uokome.cz,,,Město Ústí nad Orlicí,2,Mgr. Bc. Radek Škarka,2005-01-01,24735931.0,49.9735353,16.392837,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1616
"Integrovaná střední škola, Vysoké nad Jizerou, Dr. Farského 300, příspěvková organizace","ISŠ, příspěvková organizace",107860678,00087891,C00,Střední škola,Liberecký kraj,Semily,Vysoké nad Jizerou,Dr. Karla Farského 300,51211,590.0,413,iss@iss-vysokenj.cz,,,Liberecký kraj,7,Ing. Markéta Zelinková,2005-01-01,16960394.0,50.6813083,15.405772,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1617
Střední průmyslová škola stavební Pardubice,SPŠ stavební Pardubice,130001180,00191191,C00,Střední škola,Pardubický kraj,Pardubice,Rybitví,Sokolovská 150,53354,580.0,406,skola@spsstavebni.cz,,,Pardubický kraj,7,Mgr. Renata Petružálková,2005-01-01,7591004.0,50.0593366,15.6971592,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1618
"Základní škola a Mateřská škola, Nechanice, okres Hradec Králové",Základní škola a Mateřská škola,062060449,62060449,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Nechanice,Pražská 2,50315,648.0,453,skola@zsnechanice.cz,,,Město Nechanice,2,"Mgr. et Mgr. David Kubíček, MBA",2005-01-01,15775348.0,50.2377538,15.632885,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1619
"Základní škola, Jičín, Husova 170",Základní škola,060114088,70886849,B00,Základní škola,Královéhradecký kraj,Jičín,Jičín,Husova 170,50601,600.0,420,mares@2zsjc.cz,,,Město Jičín,2,Mgr. Kateřina Babíková,2005-01-01,17524814.0,50.4352039,15.3592361,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1620
"Základní škola, Nový Bydžov, V. Kl. Klicpery 561, okres Hradec Králové",Základní škola,062690965,62690965,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Nový Bydžov,V. Kl. Klicpery 561,50401,650.0,454,reditel@klicperka.cz,,,Město Nový Bydžov,2,Mgr. Hana Kárníková,2005-01-01,20338295.0,50.2391476,15.4915638,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1621
"Základní škola, Třebechovice pod Orebem, okres Hradec Králové",Základní škola,062690973,62690973,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Třebechovice pod Orebem,Na stavě 1079,50346,700.0,489,urban@zst.cz,,,Město Třebechovice pod Orebem,2,Mgr. Milada Franková,2005-01-01,15842452.0,50.1985813,15.9963988,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1622
"Základní škola a mateřská škola Desná, okres Jablonec nad Nisou, příspěvková organizace",Základní škola a mateřská škola,102177155,70982597,B00,Základní škola,Liberecký kraj,Jablonec nad Nisou,Desná,Krkonošská 613,46861,500.0,350,reditelna@zsdesna.cz,,,Město Desná,2,Mgr. Martina Hrubá,2005-01-01,12078654.0,50.7635251,15.3295275,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1623
"Základní škola, Chrast, okres Chrudim",Základní škola,102142319,70156778,B00,Základní škola,Pardubický kraj,Chrudim,Chrast,U Pošty 5,53851,510.0,357,d.cervova@centrum.cz,,,Město Chrast,2,Mgr. Lenka Budínská,2005-01-01,5425191.0,49.9006901,15.9358213,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1624
"Základní škola, Hradec Králové, Habrmanova 130",Základní škola,102066680,69172366,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Habrmanova 130,50002,500.0,350,simek@habrmanova.cz,,,Statutární město Hradec Králové,2,Mgr. Jiří Šimek,2005-01-01,23884495.0,50.2107874,15.8119776,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1625
"Základní škola a Mateřská škola, Hradec Králové - Kukleny, Pražská 198",Základní škola a Mateřská škola,102066744,70886091,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Pražská třída 198,50004,450.0,315,zskukleny@zskukleny.cz,,,Statutární město Hradec Králové,2,Mgr. Martin Hušek,2005-01-01,23824409.0,50.2072972,15.7979508,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1626
"Základní škola a Mateřská škola, Hradec Králové, Jiráskovo nám. 1166",Základní škola a Mateřská škola,102066787,62694774,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Jiráskovo náměstí 1166,50002,450.0,315,skola@zsjirasek.cz,,,Statutární město Hradec Králové,2,Mgr. Martina Škultétyová,2005-01-01,23894679.0,50.2058996,15.8107035,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1627
"Základní škola, Hradec Králové - Pouchov, K Sokolovně 452",Základní škola,102066868,62693123,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,K Sokolovně 452,50341,450.0,315,zspouchov@zspouchov.cz,,,Statutární město Hradec Králové,2,Mgr. Jiří Otčenášek,2005-01-01,23923661.0,50.2272382,15.8420268,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1628
"Základní škola a Mateřská škola, Hradec Králové, Úprkova 1",Základní škola a Mateřská škola,102078033,70886113,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Úprkova 1,50009,500.0,350,lehky@zsuprkova.cz,,,Statutární město Hradec Králové,2,Mgr. Petr Lehký,2005-01-01,23875674.0,50.2043122,15.854045,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1629
"Základní škola, Smiřice, okres Hradec Králové",Základní škola,102078211,69172552,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Smiřice,Jiráskova 206,50303,670.0,468,skola@zssmirice.cz,,,Město Smiřice,2,Mgr. Roman Kopecký,2005-01-01,15811662.0,50.2982549,15.8641237,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1630
"Základní škola, Chrudim, Školní náměstí 6",Základní škola,102142441,70925038,B00,Základní škola,Pardubický kraj,Chrudim,Chrudim,Školní náměstí 238,53701,700.0,489,reditel@zsskolninamesti.cz,,,Město Chrudim,2,Mgr. Martin Vykydal,2005-01-01,18878130.0,49.951113,15.7971244,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1631
"Základní škola, Luže, okres Chrudim","Základní škola, Luže, okres Chrudim",102142505,70156743,B00,Základní škola,Pardubický kraj,Chrudim,Luže,Komenského 254,53854,500.0,350,zs.luze@tiscali.cz,,,Město Luže,2,Mgr. Vít Hospodka,2005-01-01,5360650.0,49.89547,16.0321663,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1632
"Základní škola Litomyšl, Zámecká 496, okres Svitavy","ZŠ Litomyšl, Zámecká 496, okres Svitavy",047487283,47487283,B00,Základní škola,Pardubický kraj,Svitavy,Litomyšl,Zámecká 496,57001,619.0,433,1zs@litomysl.cz,,,Město Litomyšl,2,Mgr. Ondřej Vomočil,2005-01-01,1905180.0,49.8705276,16.315195,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1633
"Základní škola, Hlinsko, Smetanova 403, okres Chrudim",Základní škola,102142254,70913528,B00,Základní škola,Pardubický kraj,Chrudim,Hlinsko,Smetanova 403,53901,480.0,336,skola@zssmetanova.cz,,,Město Hlinsko,2,Mgr. Radek Vašek,2005-01-01,5380731.0,49.7674113,15.9150975,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1634
"Základní škola Hlinsko, Ležáků 1449, okres Chrudim","ZŠ Hlinsko, Ležáků 1449, okres Chrudim",102142271,70913501,B00,Základní škola,Pardubický kraj,Chrudim,Hlinsko,Poličská 757,53901,572.0,400,red@zslezaku.cz,,,Město Hlinsko,2,Ing. Bc. Tomáš Louda,2005-01-01,5384362.0,49.7680913,15.9175375,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1635
"Základní škola, Chrudim, U Stadionu 756","Základní škola, Chrudim, U Stadionu 756",102142408,70888116,B00,Základní škola,Pardubický kraj,Chrudim,Chrudim,U Stadionu 756,53703,654.0,457,zs.stadion@chrudim.cz,,,Město Chrudim,2,Ing. Iveta Horčičková,2005-01-01,18892272.0,49.9414188,15.7991838,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1636
"Základní škola Slatiňany, okres Chrudim",Základní škola,102142653,75016460,B00,Základní škola,Pardubický kraj,Chrudim,Slatiňany,T. G. Masaryka 136,53821,600.0,420,kancelar.zsslatinany@centrum.cz,,,Město Slatiňany,2,Mgr. Bc. Ivo Mandys,2005-01-01,5437822.0,49.9172463,15.8147488,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1637
"Základní škola, Třemošnice, okres Chrudim","ZŠ, Třemošnice, okres Chrudim",102142700,70989176,B00,Základní škola,Pardubický kraj,Chrudim,Třemošnice,Internátní 217,53843,560.0,392,zskola@tremosnice.cz,,,Město Třemošnice,2,Mgr. Zbyněk Němec,2005-01-01,5239974.0,49.8665412,15.5718224,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1638
"Základní škola, Chrudim, Dr. Malíka 958","Základní škola, Chrudim, Dr. Malíka 958",108008061,70888108,B00,Základní škola,Pardubický kraj,Chrudim,Chrudim,Dr. Jana Malíka 958,53701,557.0,389,skola@zsmalika.cz,,,Město Chrudim,2,Mgr. Jana Slejšková,2005-01-01,18885217.0,49.94729,15.8058413,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1639
"Základní škola, Jičín, Železnická 460",Základní škola,047477334,70886784,B00,Základní škola,Královéhradecký kraj,Jičín,Jičín,Železnická 460,50601,700.0,489,skola@4zs.jicin.cz,,,Město Jičín,2,Mgr. Blanka Kalátová Lisá,2005-01-01,25338170.0,50.4395201,15.3533773,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1640
"Střední škola gastronomie a služeb, Nová Paka, Masarykovo nám. 2",Střední škola gastronomie a služeb,130001732,15055256,C00,Střední škola,Královéhradecký kraj,Jičín,Lázně Bělohrad,Zámecká 478,50781,595.0,416,jaros@ssgs.cz,,,Královéhradecký kraj,7,Mgr. Petr Jaroš,2005-01-01,1767691.0,50.4269517,15.5808307,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1641
"Základní škola K. V. Raise, Lázně Bělohrad, okres Jičín",Základní škola K. V. Raise,049305760,70879150,B00,Základní škola,Královéhradecký kraj,Jičín,Lázně Bělohrad,Komenského 95,50781,480.0,336,zaveska@zslb.cz,,,Město Lázně Bělohrad,2,Mgr. Miroslava Brychtová,2005-01-01,1763971.0,50.4271203,15.5826046,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1642
Střední škola automobilní Holice,Střední škola automobilní Holice,013582909,13582909,C00,Střední škola,Pardubický kraj,Pardubice,Holice,Nádražní 301,53401,540.0,378,spsauto@spsauto.cz,,,Pardubický kraj,7,Mgr. Bc. Michal Šedivka,2005-01-01,7656378.0,50.0687438,15.9908588,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1643
"Základní škola Pardubice, Josefa Ressla 2258",Základní škola,046496921,46496921,B00,Základní škola,Pardubický kraj,Pardubice,Pardubice,Josefa Ressla 2258,53002,530.0,371,info@zsjres.cz,,,Statutární město Pardubice,2,PaedDr. Světlana Divecká,2005-01-01,7711255.0,50.0241909,15.7543082,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1644
"Základní škola Přelouč, Masarykovo náměstí 45, okres Pardubice",Základní škola,048160831,48160831,B00,Základní škola,Pardubický kraj,Pardubice,Přelouč,Masarykovo náměstí 50,53501,660.0,461,kancelar@zsmn.cz,,,Město Přelouč,2,Mgr. Bc. Lenka Zmítková,2005-01-01,7748884.0,50.0395151,15.5597675,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1645
"Základní škola Pardubice-Svítkov, Školní 748","ZŠ Pardubice-Svítkov, Školní 748",048161144,48161144,B00,Základní škola,Pardubický kraj,Pardubice,Pardubice,Školní 748,53006,585.0,409,dobruska@zssvitkov.cz,,,Statutární město Pardubice,2,Ing. Monika Dobruská,2005-01-01,7775814.0,50.0282907,15.7347308,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1646
"Základní škola Pardubice-Ohrazenice, Trnovská 159",Základní škola Pardubice-Ohrazenice,048161241,48161241,B00,Základní škola,Pardubický kraj,Pardubice,Pardubice,Arbesova 158,53353,450.0,315,zs.ohrazenice@zsohrazenice.cz,,,Statutární město Pardubice,2,"Mgr., Bc. František Stejskal",2005-01-01,7689535.0,50.0624042,15.7534437,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1647
"Základní škola Jilemnice, Komenského 288, příspěvková organizace",Základní škola,102442878,00854697,B00,Základní škola,Liberecký kraj,Semily,Jilemnice,Jana Harracha 101,51401,475.0,332,centrum@komenskeho288.cz,,,Město Jilemnice,2,PaedDr. Václav Korbelář,2005-01-01,16972431.0,50.6090201,15.5034261,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1648
"Základní škola Česká Třebová, Nádražní ulice",Základní škola,000854352,70882452,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Česká Třebová,Nádražní 200,56002,616.0,431,tomas.kriz@zsnadrazni.cz,,,Město Česká Třebová,2,Mgr. Radim Kolář,2005-01-01,24752975.0,49.9002694,16.4465733,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1649
"Základní škola Jilemnice, Jana Harracha 97, příspěvková organizace",Základní škola,102442886,00854719,B00,Základní škola,Liberecký kraj,Semily,Jilemnice,Komenského 103,51401,455.0,318,zsharracha@netair.cz,,,Město Jilemnice,2,Mgr. Otakar Kudrnáč,2005-01-01,16972457.0,50.6092292,15.5030701,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1650
"Základní škola Česká Třebová, Habrmanova ulice",Základní škola,000853933,70882380,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Česká Třebová,Habrmanova 1500,56002,695.0,486,reditel@zs-habrmanova.cz,,,Město Česká Třebová,2,Mgr. Tomáš Starý,2005-01-01,24765376.0,49.9044558,16.4413354,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1651
"Základní škola Ivana Olbrachta Semily, příspěvková organizace",Základní škola Ivana Olbrachta,102442941,70155771,B00,Základní škola,Liberecký kraj,Semily,Semily,Nad Špejcharem 574,51301,450.0,315,zsiosemily@iol.cz,,,Město Semily,2,Mgr. Jiří Jiránek,2005-01-01,16966414.0,50.6058625,15.3348138,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1652
"Základní škola Turnov, Skálova 600, příspěvková organizace",Základní škola,102454027,00854794,B00,Základní škola,Liberecký kraj,Semily,Turnov,Alešova 1723,51101,710.0,496,skola@zsskalova.cz; michal.loukota@zsskalova.cz,,,Město Turnov,2,Mgr. Michal Loukota,2005-01-01,25351117.0,50.591785,15.1404375,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1653
"Základní škola Turnov, Žižkova 518, příspěvková organizace",Základní škola,102454086,00855049,B00,Základní škola,Liberecký kraj,Semily,Turnov,Žižkova 518,51101,610.0,427,ales.krejcik@zsturnov.cz,,,Město Turnov,2,Mgr. Aleš Krejčík,2005-01-01,21583811.0,50.5944338,15.1618538,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1654
"Základní škola, Vrchlabí, nám. Míru 283",Základní škola,102578974,70947163,B00,Základní škola,Královéhradecký kraj,Trutnov,Vrchlabí,Nám. Míru 283,54301,600.0,420,nmiru@zsvrchlabi.cz,,,Město Vrchlabí,2,Mgr. Petr Jindřich,2005-01-01,2304490.0,50.6292468,15.6083404,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1655
"Gymnázium, Střední odborná škola a Střední zdravotnická škola, Jilemnice, příspěvková organizace","Gymn., SOŠ a Střední zdravot. škola",102454299,00856037,C00,Střední škola,Liberecký kraj,Semily,Jilemnice,Tkalcovská 460,51401,700.0,489,zastupce@gymjil.cz,,,Liberecký kraj,7,"Mgr. Daniel Martinek, LL.M.",2005-01-01,16975952.0,50.6060711,15.5058786,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1656
"Gymnázium Dr. Antona Randy, Jablonec nad Nisou, příspěvková organizace","Gymnázium Dr. A. Randy, přísp. org.",000391107,60252537,C00,Střední škola,Liberecký kraj,Jablonec nad Nisou,Jablonec nad Nisou,Dr. Randy 4096,46601,694.0,485,gymrandy13@randovka.cz,,,Liberecký kraj,7,"RNDr. Tomáš Hofrichter, Ph.D.",2005-01-01,19857764.0,50.7287938,15.165645,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1657
"Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, okres Trutnov",Základní škola a Základní umělecká škola,049290576,49290576,B00,Základní škola,Královéhradecký kraj,Trutnov,Rtyně v Podkrkonoší,nám. Horníků 440,54233,480.0,336,zsazus-rtynevp@zsrtyne.cz,,,Město Rtyně v Podkrkonoší,2,Mgr. Hana Vondráčková,2005-01-01,2362872.0,50.5055463,16.06802,0,0.5,False,,0,46.2,0.0,18.8,15.0,7.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,1658
