rank,nazev,obec,okres,kraj,pocet_zaku,email,telefon,web,score_total,priorita,pristup,pristup_label,dotace_had,dotace_last_year,score_dotace,score_size,score_vz_gap,score_region,score_competition
110,"Základní škola a Mateřská škola Králův Dvůr, Jungmannova 292, okres Beroun, příspěvková organizace",Králův Dvůr,Beroun,Středočeský kraj,525,reditelna@zskd.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
111,Jungmannova základní škola Beroun,Beroun,Beroun,Středočeský kraj,546,sekretariat@jzs.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
112,"Základní škola Beroun, Wagnerovo náměstí 458",Beroun,Beroun,Středočeský kraj,567,skola@zswagnerka.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
113,"2. základní škola a mateřská škola, Beroun, Preislerova 1335",Beroun,Beroun,Středočeský kraj,581,kolarova@2zsb.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
114,"Základní škola a Mateřská škola Kladno, Ukrajinská 2447",Kladno,Kladno,Středočeský kraj,525,info@14zskladno.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
115,"Základní škola a Mateřská škola Kladno, Norská 2633",Kladno,Kladno,Středočeský kraj,686,sekretariat@zsnorska.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
116,"Střední odborná škola informatiky a spojů a Střední odborné učiliště, Kolín, Jaselská 826",Kolín,Kolín,Středočeský kraj,506,info@soskolin.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
117,"Střední průmyslová škola strojírenská a Jazyková škola s právem státní jazykové zkoušky, Kolín IV, Heverova 191",Kolín,Kolín,Středočeský kraj,525,prazak@sps-ko.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
118,"Základní škola, Praha 3, Lupáčova 1/1200",Praha,CZ0103,Hlavní město Praha,514,hauftova@lupacovka.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
119,"Gymnázium, Praha 8, Ústavní 400",Praha,CZ0108,Hlavní město Praha,510,sterbova@ggg.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
120,"Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace",Praha,CZ010A,Hlavní město Praha,503,skola@zsgutova.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
121,"Obchodní akademie, Střední pedagogická škola a Jazyková škola s právem státní jazykové zkoušky, Beroun, U Stadionu 486",Beroun,Beroun,Středočeský kraj,698,martina.trojanova@oaspgsberoun.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
122,"Střední průmyslová škola a Vyšší odborná škola, Kladno, Jana Palacha 1840",Kladno,Kladno,Středočeský kraj,518,reditel@spskladno.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
123,Základní škola Ing. M. Plesingera - Božinova Neratovice,Neratovice,Mělník,Středočeský kraj,686,info@zs-mpb.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
124,"Základní škola Jindřicha Matiegky Mělník, příspěvková organizace",Mělník,Mělník,Středočeský kraj,588,skuta@zsjm-me.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
125,"1. kladenská soukromá střední škola a základní škola (1. KŠPA), s.r.o.",Kladno,Kladno,Středočeský kraj,595,kladno@1kspa.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
126,"Střední průmyslová škola stavební a Obchodní akademie, Kladno, Cyrila Boudy 2954",Kladno,Kladno,Středočeský kraj,503,opatrny@spssoa.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
127,Základní škola Žižkov,Kutná Hora,Kutná Hora,Středočeský kraj,550,skola@zszizkov.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
128,"Střední pedagogická škola a Střední odborná škola Kladno, příspěvková organizace",Středokluky,Praha-západ,Středočeský kraj,667,skola@spgsasoskladno.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
129,"Střední škola designu a řemesel Kladno, příspěvková organizace",Kladno,Kladno,Středočeský kraj,525,info@ssdr.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
130,Základní škola Brána jazyků s rozšířenou výukou matematiky,Praha,CZ0101,Hlavní město Praha,676,reditel@branajazyku.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
131,Základní škola Kostelec nad Černými lesy,Kostelec nad Černými lesy,Praha-východ,Středočeský kraj,679,zskostelecncl@volny.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
132,"Základní škola Pečky, okres Kolín",Pečky,Kolín,Středočeský kraj,560,admin@zspecky.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
133,"Základní škola Kunratice, Praha 4, Předškolní 420",Praha,CZ0104,Hlavní město Praha,567,reditel@zskunratice.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
134,"Základní škola Stará Boleslav, Brandýs nad Labem - Stará Boleslav, Jungmannova 164, okres Praha - východ",Brandýs nad Labem-Stará Boleslav,Praha-východ,Středočeský kraj,595,info@zsstaraboleslav.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
135,"ERUNI, univerzitní gymnázium a střední odborná škola Praha, z.ú.",Praha,CZ01100,Hlavní město Praha,571,zrizovatel@eruni.org,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
136,"Základní škola Jana Wericha, Praha 6 - Řepy, Španielova 19/1111",Praha,CZ0106,Hlavní město Praha,525,reditelna@zs-jana-wericha.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
137,"Základní škola, Praha 10, nám. Bří Jandusů 2",Praha,CZ010A,Hlavní město Praha,567,reditel@zsjandusu.net,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
138,"2. základní škola, Rakovník, Husovo náměstí 3",Rakovník,Rakovník,Středočeský kraj,510,2zsrako@2zsrako.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
139,Základní škola Řevnice,Řevnice,Praha-západ,Středočeský kraj,507,reznicek@zsrevnice.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
140,"3. základní škola, Rakovník, Okružní 2331",Rakovník,Rakovník,Středočeský kraj,602,steidl@3zsrako.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
141,Základní škola Jílové u Prahy,Jílové u Prahy,Praha-západ,Středočeský kraj,560,zsjilove@zsjilove.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
142,"ZÁKLADNÍ ŠKOLA A ZÁKLADNÍ UMĚLECKÁ ŠKOLA JESENICE, příspěvková organizace",Jesenice,Praha-západ,Středočeský kraj,597,podatelna@jesenickaskola.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
143,Základní škola Fryčovická,Praha,CZ0109,Hlavní město Praha,595,nytrova@zsfrycovicka.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
144,"Střední průmyslová škola stavební Josefa Gočára, Praha 4, Družstevní ochoz 3",Praha,CZ0104,Hlavní město Praha,521,reditelka@spsgocar.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
145,"Základní škola Marjánka, Praha 6, Bělohorská 52",Praha,CZ0106,Hlavní město Praha,630,info@zsmarjanka.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
146,"2. základní škola Bezručova Říčany, příspěvková organizace",Říčany,Praha-východ,Středočeský kraj,581,reditel@2zs.ricany.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
147,"Gymnázium, Praha 4, Na Vítězné pláni 1160",Praha,CZ0104,Hlavní město Praha,510,horyna@gvp.cz; imramop@gvp.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
148,"Základní škola Dědina, Praha 6, Žukovského 6",Praha,CZ0106,Hlavní město Praha,567,dundera@zsdedina.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
149,Základní škola Dobřichovice,Dobřichovice,Praha-západ,Středočeský kraj,518,skvorova@zsdobrichovice.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
150,"Střední odborná škola a Střední odborné učiliště, Nymburk, V Kolonii 1804",Nymburk,Nymburk,Středočeský kraj,560,cop@copnb.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
151,"Základní škola, Praha 9 - Černý Most, Bří. Venclíků 1140",Praha,CZ0109,Hlavní město Praha,567,info@zsvencliku.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
152,Základní škola Úvaly,Úvaly,Praha-východ,Středočeský kraj,673,zsuvaly@zsuvaly.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
153,"Střední odborná škola a Střední odborné učiliště, Kladno, Dubská",Kladno,Kladno,Středočeský kraj,591,reditelstvi@sou-dubska.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
154,"Základní škola a Mateřská škola Emy Destinnové, Praha 6, náměstí Svobody 3/930",Praha,CZ0106,Hlavní město Praha,661,info@zsemydestinnove.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
155,"Základní škola U Obory, Praha 10, Vachkova 630",Praha,CZ010A,Hlavní město Praha,679,ivana.vodickova.zs@seznam.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
156,Základní škola a Mateřská škola Tupolevova,Praha,CZ0109,Hlavní město Praha,609,pasiniova@tupolevka.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
157,"Základní škola a Základní umělecká škola Rudná, okres Praha - západ",Rudná,Praha-západ,Středočeský kraj,630,reditel@zsrudna.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
158,"Základní škola, Praha 8, Glowackého 6",Praha,CZ0108,Hlavní město Praha,560,zastupkyne@glowackeho.eu,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
159,"Střední průmyslová škola sdělovací techniky, Praha 1, Panská 3",Praha,CZ0101,Hlavní město Praha,503,ruml@panska.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
160,"Základní škola, Praha 8, Hovorčovická 11",Praha,CZ0108,Hlavní město Praha,525,tomas.taborsky@zshovorcovicka.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
161,"Gymnázium Jana Nerudy, škola hlavního města Prahy, Praha 1, Hellichova 3",Praha,CZ0101,Hlavní město Praha,616,wienerova@gjn.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
162,"Základní škola, Praha 8, Žernosecká 3",Praha,CZ0108,Hlavní město Praha,510,reditelka@zernosecka.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
163,"Střední průmyslová škola Emila Kolbena Rakovník, příspěvková organizace",Rakovník,Rakovník,Středočeský kraj,581,j.jiratko@spsrakovnik.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
164,Základní škola J. A. Komenského Nové Strašecí,Nové Strašecí,Rakovník,Středočeský kraj,644,petr.chochola@zsnovestraseci.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
165,"1.základní škola Sedlčany, Primáře Kareše 68, okres Příbram",Sedlčany,Příbram,Středočeský kraj,525,skola@1zs-sedlcany.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
166,"Vyšší odborná škola a Střední průmyslová škola dopravní, Praha 1, Masná 18",Praha,CZ0101,Hlavní město Praha,546,ineman@spsdmasna.cz; hronova@spsdmasna.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
167,"Základní škola, Příbram VIII, Školní 75",Příbram,Příbram,Středočeský kraj,609,hradecky@skolni.pb.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
168,"Základní škola, Příbram VII, 28. října 1",Příbram,Příbram,Středočeský kraj,503,info@5zs-pb.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
169,"2. základní škola Dobříš, Školní 1035, okres Příbram",Dobříš,Příbram,Středočeský kraj,644,podatelna@2zsdobris.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
170,"Základní škola a mateřská škola, Praha 8, Lyčkovo náměstí 6",Praha,CZ0108,Hlavní město Praha,646,jan.korda@smysluplnaskola.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
171,"Základní škola Mníšek pod Brdy, okres Praha - západ",Mníšek pod Brdy,Praha-západ,Středočeský kraj,682,vedeni@zsmnisek.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
172,"Základní škola, Praha 9 - Černý Most, Vybíralova 964",Praha,CZ0109,Hlavní město Praha,644,info@zsvybiralova.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
173,Obchodní akademie Vinohradská,Praha,CZ0102,Hlavní město Praha,507,milan.macek@oavin.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
174,"Střední průmyslová škola elektrotechnická, Praha 2, Ječná 30",Praha,CZ0102,Hlavní město Praha,609,spsejecna@spsejecna.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
175,"Základní škola a mateřská škola Ústavní, Praha 8, Hlivická 1",Praha,CZ0108,Hlavní město Praha,525,skola@zs-ustavni.cz; reditelka@zs-ustavni.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
176,"Základní škola a Mateřská škola Antonína Čermáka, Praha 6",Praha,CZ0106,Hlavní město Praha,542,petr.karvanek@zscermaka.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
177,"Základní škola pod Svatou Horou, Příbram",Příbram,Příbram,Středočeský kraj,539,roman.behun@1zs-pb.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
178,"Gymnázium a Základní škola T. G. Masaryka Mnichovice okres Praha-východ, příspěvková organizace",Mnichovice,Praha-východ,Středočeský kraj,553,info@zsmnichovice.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
179,"Fakultní základní škola Pedagogické fakulty UK, Praha 13, Mezi Školami 2322",Praha,CZ01100,Hlavní město Praha,665,reditel@fzsmeziskolami.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
180,"Fakultní základní škola s rozšířenou výukou jazyků při PedF UK, Praha 5 - Smíchov, Drtinova 1/1861, příspěvková organizace",Praha,CZ0105,Hlavní město Praha,503,reditelna@zsdrtinova.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
181,Základní škola Mukařov,Mukařov,Praha-východ,Středočeský kraj,501,podatelna@zsmukarov.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
182,"Základní škola Čelákovice, J. A. Komenského 414, příspěvková organizace",Čelákovice,Praha-východ,Středočeský kraj,560,info@zscelakovice.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
183,"Základní škola, Praha 10, Hornoměcholupská 873",Praha,CZ010A,Hlavní město Praha,567,zs@hornomep.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
184,"Fakultní základní škola profesora Otokara Chlupa Pedagogické fakulty UK, Praha 13, Fingerova 2186",Praha,CZ0105,Hlavní město Praha,616,sekretariat@fzs-chlupa.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
185,"Gymnázium Jaroslava Heyrovského, Praha 5, Mezi Školami 2475",Praha,CZ0105,Hlavní město Praha,554,bauer@gymjh.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
186,"Základní škola a mateřská škola Praha 5 - Košíře, Weberova 1/1090, příspěvková organizace",Praha,CZ0105,Hlavní město Praha,503,reditel@zsweberova.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
187,Základní škola Vítězslava Hálka Odolena Voda,Odolena Voda,Praha-východ,Středočeský kraj,679,reditelna@zsodolenavoda.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
188,"Základní škola, Praha 9 - Lehovec, Chvaletická 918",Praha,CZ0109,Hlavní město Praha,607,info@zschvaleticka.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
189,"Základní škola a mateřská škola Barrandov, Praha 5 - Hlubočepy, Chaplinovo nám. 1/615, příspěvková organizace",Praha,CZ0105,Hlavní město Praha,630,sekretariat@zsbarr.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
190,"Základní škola a Mateřská škola Klecany, okres Praha - východ",Klecany,Praha-východ,Středočeský kraj,665,zs@zsmsklecany.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
191,"Základní škola Generála Janouška, Praha 9 - Černý Most, Dygrýnova 1006/21",Praha,CZ0109,Hlavní město Praha,560,info@zsgenjanouska.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
192,"Základní škola Čelákovice, Kostelní 457, příspěvková organizace",Čelákovice,Praha-východ,Středočeský kraj,595,skola@kamenka-celakovice.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
193,Základní škola a Mateřská škola Na Balabence,Praha,CZ0109,Hlavní město Praha,628,skola@zsbalabenka.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
194,"Základní škola a mateřská škola Praha - Zličín, příspěvková organizace",Praha,CZ0105,Hlavní město Praha,540,info@zszlicin.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
195,Základní škola Špitálská,Praha 9 - Vysočany,CZ0109,Hlavní město Praha,503,vasakovam@zsspitalska.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
196,Základní škola Palachova Brandýs n. L.,Brandýs nad Labem-Stará Boleslav,Praha-východ,Středočeský kraj,546,info@fzs-palachova.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
197,Gymnázium FOSTRA International s.r.o.,Praha,CZ0103,Hlavní město Praha,672,studijni@fostra.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
198,Základní škola Litvínovská 500,Praha,CZ0109,Hlavní město Praha,574,martin.kocman@litvinovska500.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
199,"Základní škola Mikoláše Alše, Praha - Suchdol, Suchdolská 360",Praha,CZ0106,Hlavní město Praha,532,zs-m.alse@seznam.cz; posta@zssuchdol.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
200,"Fakultní základní škola Pedagogické fakulty UK, Praha 13, Trávníčkova 1744",Praha,CZ0105,Hlavní město Praha,665,skola@zstravnickova.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
201,"Fakultní základní škola při Pedagogické fakultě UK, Praha 13, Brdičkova 1878",Praha,CZ0105,Hlavní město Praha,588,skola@fzsbrdickova.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
202,"Základní škola a Mateřská škola Červený vrch, Praha 6, Alžírská 26",Praha,CZ0106,Hlavní město Praha,588,cibulkova@zscvrch.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
203,"Základní škola, Praha 4, Mendelova 550",Praha,CZ0104,Hlavní město Praha,630,zs.mendelova@centrum.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
204,"Střední odborná škola stavební a Střední odborné učiliště stavební, Kolín II, Pražská 112",Kolín,Kolín,Středočeský kraj,670,info@stavebnikolin.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
205,Základní škola Rakovského v Praze 12,Praha,CZ0104,Hlavní město Praha,618,pavel.nedbal@zsrakovskeho.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
206,"Základní škola a Mateřská škola, Praha 6, Bílá 1",Praha,CZ0106,Hlavní město Praha,525,skola@zsbila.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
207,"MICHAEL - Střední škola, Gymnázium a Vyšší odborná škola, s.r.o.",Praha,CZ0104,Hlavní město Praha,510,info@skolamichael.cz; hrubesovam@skolamichael.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
208,Základní škola profesora Švejcara v Praze 12,Praha,CZ0104,Hlavní město Praha,567,mrackova@mrackova.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
209,"Střední škola a Vyšší odborná škola cestovního ruchu, České Budějovice, Senovážné náměstí 12",České Budějovice,České Budějovice,Jihočeský kraj,630,info@skolacrcb.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
210,"Základní škola F. L. Čelakovského, Strakonice, Jezerní 1280",Strakonice,Strakonice,Jihočeský kraj,616,reditel@flc.strakonice.eu,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
211,"Základní škola, Pohůrecká 16, České Budějovice",České Budějovice,České Budějovice,Jihočeský kraj,616,kancelar@zspohurecka.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
212,"Základní škola Strakonice, Dukelská 166",Strakonice,Strakonice,Jihočeský kraj,682,posta@dukelska.strakonice.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
213,"Vyšší odborná škola, Střední škola, Centrum odborné přípravy, Sezimovo Ústí, Budějovická 421",Sezimovo Ústí,Tábor,Jihočeský kraj,689,cop@copsu.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
214,"Základní škola Josefa Kajetána Tyla a Mateřská škola Písek, Tylova 2391",Písek,Písek,Jihočeský kraj,525,info@zstylova.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
215,"Základní škola Máj I, M. Chlajna 21, České Budějovice",České Budějovice,České Budějovice,Jihočeský kraj,567,reditel@zsmaj.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
216,Základní škola Trhové Sviny,Trhové Sviny,České Budějovice,Jihočeský kraj,503,zsts@zssviny.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
217,"Základní škola a Mateřská škola Tábor, náměstí Mikuláše z Husi 45",Tábor,Tábor,Jihočeský kraj,503,reditel@zsmikulasezhusi.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
218,"Gymnázium Pierra de Coubertina, Tábor, Náměstí Františka Křižíka 860",Tábor,Tábor,Jihočeský kraj,546,skola@gymta.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
