nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian
"Základní škola a Praktická škola Slaný, příspěvková organizace",Základní škola a Praktická škola,102114013,61894630,B00,Základní škola,Středočeský kraj,Kladno,Slaný,Palackého 570,27401,106.0,74,skola@zs-palackeho.cz,,,Středočeský kraj,7,Mgr. Vladimíra Mašková,2005-01-01,6038280.0
"Soukromá mateřská škola, základní škola a střední škola Slunce, o.p.s.","Soukromá MŠ, ZŠ a SŠ Slunce, o.p.s.",108002586,25712853,C00,Střední škola,Středočeský kraj,Kladno,Hostouň,Jenečská 213,27353,30.0,21,skola@slunce.info,,,,5,Mgr. Jakub Dvořák,2005-01-01,1291807.0
"Soukromá mateřská škola, základní škola a střední škola Slunce, o.p.s.","Soukromá MŠ, ZŠ a SŠ Slunce, o.p.s.",110450060,25712853,B00,Základní škola,Středočeský kraj,Kladno,Stochov,Hornická 410,27303,76.0,53,skola@slunce.info,,,,5,Mgr. Jakub Dvořák,2005-01-01,11356421.0
"Střední odborné učiliště a Praktická škola Kladno - Vrapice, příspěvková organizace",Střední odb. učiliště a Praktická škola,102638519,00507601,C00,Střední škola,Středočeský kraj,Kladno,Kladno,Josefa Jílka 1202,27309,693.0,485,sekretariat@ouvrapice.cz,,,Středočeský kraj,7,Mgr. Ivana Sedláková,2005-01-01,1462946.0
"Základní škola a Praktická škola, Český Brod, Žitomířská 1359",Základní škola a Praktická škola,151035504,70829489,C00,Střední škola,Středočeský kraj,Kolín,Český Brod,Žitomířská 1359,28201,40.0,28,snajdrovamarie@seznam.cz,,,Středočeský kraj,7,Mgr. Marie Šnajdrová,2007-01-02,25445774.0
"Základní škola a Praktická škola, Český Brod, Žitomířská 1359",Základní škola a Praktická škola,002174791,70829489,B00,Základní škola,Středočeský kraj,Kolín,Český Brod,Žitomířská 1359,28201,95.0,66,snajdrovamarie@seznam.cz,,,Středočeský kraj,7,Mgr. Marie Šnajdrová,2005-01-01,25445774.0
"Základní škola a Praktická škola, Kostelec nad Černými lesy, K Jatkám 748",Základní škola a Praktická škola,151015643,70836264,C00,Střední škola,Středočeský kraj,Praha-východ,Kostelec nad Černými lesy,K Jatkám 748,28163,12.0,8,pryvova@seznam.cz,,,Středočeský kraj,7,Mgr. Pavla Rývová,2006-09-01,6059538.0
"Základní škola a Praktická škola, Kostelec nad Černými lesy, K Jatkám 748",Základní škola a Praktická škola,110001257,70836264,B00,Základní škola,Středočeský kraj,Praha-východ,Kostelec nad Černými lesy,K Jatkám 748,28163,48.0,33,pryvova@seznam.cz,,,Středočeský kraj,7,Mgr. Pavla Rývová,2005-01-01,6059538.0
"Základní škola Kouřim, příspěvková organizace",Základní škola,110001273,70836256,B00,Základní škola,Středočeský kraj,Kolín,Kouřim,Okružní 435,28161,80.0,56,zvskourim@centrum.cz,,,Středočeský kraj,7,Mgr. Jana Ležalová,2005-01-01,6068189.0
"Základní škola, Mateřská škola a Praktická škola Kolín, příspěvková organizace","ZŠ, MŠ a PrŠ",181024845,70831378,C00,Střední škola,Středočeský kraj,Kolín,Kolín,Kutnohorská 179,28002,60.0,42,ladislava.vavrincova@zskolin.cz,,,Středočeský kraj,7,Mgr. Ladislava Vavrincová,2011-01-17,21170924.0
"Základní škola, Mateřská škola a Praktická škola Kolín, příspěvková organizace","ZŠ, MŠ a PrŠ",002174804,70831378,B00,Základní škola,Středočeský kraj,Kolín,Pečky,Tř. Jana Švermy 540,28911,195.0,136,ladislava.vavrincova@zskolin.cz,,,Středočeský kraj,7,Mgr. Ladislava Vavrincová,2005-01-01,2467704.0
"Základní škola Čáslav, příspěvková organizace",Základní škola,102238073,70836205,B00,Základní škola,Středočeský kraj,Kutná Hora,Čáslav,Husova 526,28601,60.0,42,marika.jelinkova@zscaslav-husova.cz,,,Středočeský kraj,7,Mgr. Bc. Marika Jelínková,2005-01-01,11625813.0
"Základní škola a Praktická škola Kutná Hora, příspěvková organizace",Základní škola a Praktická škola,150067364,70836230,C00,Střední škola,Středočeský kraj,Kutná Hora,Kutná Hora,Na Náměti 417,28401,20.0,14,lida.janouskova@tiscall.cz,,,Středočeský kraj,7,Mgr. Ludmila Janoušková,2005-01-01,11615664.0
"Základní škola a Praktická škola Kutná Hora, příspěvková organizace",Základní škola a Praktická škola,102238031,70836230,B00,Základní škola,Středočeský kraj,Kutná Hora,Kutná Hora,Na Náměti 417,28401,160.0,112,lida.janouskova@tiscall.cz,,,Středočeský kraj,7,Mgr. Ludmila Janoušková,2005-01-01,11615664.0
"Mateřská škola speciální, Základní škola a Praktická škola Diakonie ČCE Čáslav","MŠ speciální, ZŠ a PrŠ Diakonie ČCE",181008521,71197541,C00,Střední škola,Středočeský kraj,Kutná Hora,Čáslav,Komenského náměstí 140,28601,8.0,5,reditel@skolacaslav.cz,,,Diakonie Českobratrské církve evangelické,6,Mgr. Květuše Mašínová,2009-03-09,11638320.0
"Mateřská škola speciální, Základní škola a Praktická škola Diakonie ČCE Čáslav","MŠ speciální, ZŠ a PrŠ Diakonie ČCE",110450876,71197541,B00,Základní škola,Středočeský kraj,Kutná Hora,Kutná Hora,Jiřího z Poděbrad 308,28401,36.0,25,reditel@skolacaslav.cz,,,Diakonie Českobratrské církve evangelické,6,Mgr. Květuše Mašínová,2005-01-01,11614641.0
"Základní škola, Zruč nad Sázavou, Okružní 643",Základní škola,110450477,70836213,B00,Základní škola,Středočeský kraj,Kutná Hora,Uhlířské Janovice,Komenského 400,28504,116.0,81,zruc@zs-okruzni.cz,,,Středočeský kraj,7,Mgr. Bc. Jana Marečková,2005-01-01,11546832.0
"Základní škola Benátky nad Jizerou, příspěvková organizace",Základní škola,102338094,70836221,B00,Základní škola,Středočeský kraj,Mladá Boleslav,Benátky nad Jizerou,náměstí 17. listopadu 493,29471,32.0,22,zvs.bnj@seznam.cz,,,Středočeský kraj,7,Mgr. Jitka Krabsová,2005-01-01,21290661.0
"Základní škola, Mnichovo Hradiště, Švermova 380",Základní škola,102338124,70835730,B00,Základní škola,Středočeský kraj,Mladá Boleslav,Mnichovo Hradiště,Obránců míru 1078,29501,98.0,68,zvs.mh@seznam.cz,,,Středočeský kraj,7,Mgr. Soňa Razáková,2005-01-01,15563499.0
"Základní škola Mladá Boleslav, příspěvková organizace",Základní škola,110450523,70837279,B00,Základní škola,Středočeský kraj,Mladá Boleslav,Mladá Boleslav,Václavkova 950,29301,58.0,40,g.solnickova@centrum.cz,,,Středočeský kraj,7,Mgr. Gabriela Solničková,2005-01-01,21250219.0
"Speciální základní škola Poděbrady, příspěvková organizace",Speciální základní škola,102650357,70837091,B00,Základní škola,Středočeský kraj,Nymburk,Poděbrady,U Bažantnice 154,29001,100.0,70,podebrady@spec-skola.cz,,,Středočeský kraj,7,Mgr. Pavlína Mladá,2005-01-01,18316581.0
"Základní škola při Léčebně dr. L. Filipa Poděbrady, příspěvková organizace",Základní škola při Léčebně dr. L. Filipa,102650420,62994271,B00,Základní škola,Středočeský kraj,Nymburk,Poděbrady,nám. T.G.Masaryka 482,29001,76.0,53,filip.podebrady@seznam.cz,,,Středočeský kraj,7,Mgr. Iva Leopoldová,2005-01-01,18333117.0
"Praktická škola a Základní škola Lysá nad Labem, příspěvková organizace",Praktická škola a Základní škola,181100291,70837384,C00,Střední škola,Středočeský kraj,Nymburk,Lysá nad Labem,Komenského 1534,28922,14.0,9,eva.kohutova17@gmail.com,,,Středočeský kraj,7,Ing. Eva Kohutová,2018-08-28,18313124.0
"Praktická škola a Základní škola Lysá nad Labem, příspěvková organizace",Praktická škola a Základní škola,102650411,70837384,B00,Základní škola,Středočeský kraj,Nymburk,Milovice,Rakouská 552,28924,86.0,60,eva.kohutova17@gmail.com,,,Středočeský kraj,7,Ing. Eva Kohutová,2005-01-01,23337613.0
"Základní škola, Městec Králové, Nám. Republiky 303",Základní škola,102650438,70837414,B00,Základní škola,Středočeský kraj,Nymburk,Městec Králové,Přemysla Otakara II. 24,28903,60.0,42,info@zs-mesteckralove.cz,,,Středočeský kraj,7,Mgr. Romana Tůmová,2005-01-01,25178628.0
"Základní škola a Mateřská škola při o. p. s. Olivově dětské léčebně, Říčany, Olivova 224",ZŠ a MŠ při o.p.s.Olivově dětské léčebně,102438722,70845034,B00,Základní škola,Středočeský kraj,Praha-východ,Říčany,Olivova 224,25101,85.0,59,skola.olivovna@seznam.cz,,,Středočeský kraj,7,Mgr. Romana Bezvodová,2005-01-01,12719137.0
"Základní škola, Brandýs nad Labem - Stará Boleslav, příspěvková organizace",Základní škola,102438749,70845026,B00,Základní škola,Středočeský kraj,Praha-východ,Brandýs nad Labem-Stará Boleslav,Školní 291,25001,134.0,93,reditelna@zssbol.cz,,,Středočeský kraj,7,"Mgr. Anna Machotová, pověřena řízením",2005-01-01,14633299.0
"Střední škola řemesel Kunice, příspěvková organizace",Střední škola řemesel,108052991,00410233,C00,Střední škola,Středočeský kraj,Praha-východ,Kunice,K Učilišti 18,25164,128.0,89,info@ssrkunice.cz,,,Středočeský kraj,7,"Mgr. Bára Lupínková, pověřena řízením",2005-01-01,14552949.0
"Základní škola, Olešovice, Ringhofferova 436",Základní škola,108053008,68378955,B00,Základní škola,Středočeský kraj,Praha-východ,Kamenice,Ringhofferova 436,25168,40.0,28,info@skolaolesovice.cz,,,Středočeský kraj,7,Ing. Hana Smejkalová,2005-01-01,14532433.0
"Základní škola a Praktická škola Psáry, příspěvková organizace",Základní škola a Praktická škola,110002156,63833832,B00,Základní škola,Středočeský kraj,Praha-západ,Psáry,Jílovská 141,25244,36.0,25,lagunapsary@volny.cz,,,Středočeský kraj,7,Mgr. Jakub Adámek,2005-01-01,6482791.0
"Základní škola, Sedlčany, Konečná 1090",Základní škola,110000480,61904180,B00,Základní škola,Středočeský kraj,Příbram,Sedlčany,Konečná 1090,26401,70.0,49,reditel@zskonecna.cz,,,Středočeský kraj,7,Mgr. Hana Bednářová,2005-01-01,23043903.0
"Střední škola, Základní škola a Mateřská škola Rakovník, příspěvková organizace","SŠ, ZŠ a MŠ",181015706,47019727,C00,Střední škola,Středočeský kraj,Rakovník,Rakovník,Frant. Diepolta 1576,26901,12.0,8,ludvoz@zsrako.cz,,,Středočeský kraj,7,Mgr. Ludvík Vožeh,2010-01-08,8657301.0
"Střední škola, Základní škola a Mateřská škola Rakovník, příspěvková organizace","SŠ, ZŠ a MŠ",102602433,47019727,B00,Základní škola,Středočeský kraj,Rakovník,Rakovník,Frant. Diepolta 1576,26901,172.0,120,ludvoz@zsrako.cz,,,Středočeský kraj,7,Mgr. Ludvík Vožeh,2005-01-01,8657301.0
"Mateřská škola, Základní škola a Praktická škola, Trhové Sviny, Nové Město 228","MŠ, ZŠ a Praktická škola",150071329,60076518,C00,Střední škola,Jihočeský kraj,České Budějovice,Trhové Sviny,Nové město 228,37401,20.0,14,skola@zspssviny.cz,,,Jihočeský kraj,7,Mgr. Naděžda Korcová,2005-01-01,11829583.0
"Mateřská škola, Základní škola a Praktická škola, Trhové Sviny, Nové Město 228","MŠ, ZŠ a Praktická škola",060076518,60076518,B00,Základní škola,Jihočeský kraj,České Budějovice,Trhové Sviny,Nové město 228,37401,180.0,125,skola@zspssviny.cz,,,Jihočeský kraj,7,Mgr. Naděžda Korcová,2005-01-01,11829583.0
"Mateřská škola, základní škola a střední škola pro sluchově postižené, České Budějovice, Riegrova 1","MŠ, ZŠ a SŠ pro sluchově postižené",110028538,60075961,C00,Střední škola,Jihočeský kraj,České Budějovice,České Budějovice,Riegrova 1812,37001,27.0,18,reditelka@sluchpostcb.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,Mgr. Ivana Macíková,2005-01-01,23374462.0
"Mateřská škola, základní škola a střední škola pro sluchově postižené, České Budějovice, Riegrova 1","MŠ, ZŠ a SŠ pro sluchově postižené",107530961,60075961,B00,Základní škola,Jihočeský kraj,České Budějovice,České Budějovice,Riegrova 1812,37001,84.0,58,reditelka@sluchpostcb.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,Mgr. Ivana Macíková,2005-01-01,23374462.0
"Mateřská škola, Základní škola a Praktická škola, České Budějovice, Štítného 3","MŠ, ZŠ a Praktická škola",060075856,60075856,C00,Střední škola,Jihočeský kraj,České Budějovice,České Budějovice,Štítného 57,37001,28.0,19,specskoly.cb@cmail.cz,,,Jihočeský kraj,7,Mgr. Jiří Zemko,2005-01-01,25163337.0
"Mateřská škola, Základní škola a Praktická škola, České Budějovice, Štítného 3","MŠ, ZŠ a Praktická škola",110028350,60075856,B00,Základní škola,Jihočeský kraj,České Budějovice,České Budějovice,B. Němcové 585,37001,300.0,210,specskoly.cb@cmail.cz,,,Jihočeský kraj,7,Mgr. Jiří Zemko,2005-01-01,25040839.0
"Základní škola logopedická, Týn nad Vltavou, Sakařova 342",Základní škola logopedická,060075945,60075945,B00,Základní škola,Jihočeský kraj,České Budějovice,Týn nad Vltavou,Sakařova 342,37501,45.0,31,reditelna@zslogopedicka-tnv.cz,,,Jihočeský kraj,7,Marie Zahrádková,2005-01-01,20041390.0
"Mateřská škola, Základní škola a Praktická škola při centru ARPIDA, o.p.s.","MŠ, ZŠ a PrŠ při centru ARPIDA, o.p.s.",150077084,25167201,C00,Střední škola,Jihočeský kraj,České Budějovice,České Budějovice,U Hvízdala 1402,37011,15.0,10,info@arpida.cz,,,,5,Mgr. Ing. Marek Wohlgemuth,2005-09-01,23355905.0
"Mateřská škola, Základní škola a Praktická škola při centru ARPIDA, o.p.s.","MŠ, ZŠ a PrŠ při centru ARPIDA, o.p.s.",110017820,25167201,B00,Základní škola,Jihočeský kraj,České Budějovice,České Budějovice,U Hvízdala 1402,37011,92.0,64,info@arpida.cz,,,,5,Mgr. Ing. Marek Wohlgemuth,2005-01-01,23355905.0
"Základní škola, Český Krumlov, Kaplická 151",Základní škola,102075441,60084324,B00,Základní škola,Jihočeský kraj,Český Krumlov,Český Krumlov,Kaplická 151,38101,145.0,101,info@zskrumlov.cz,,,Jihočeský kraj,7,Mgr. Jana Jedličková,2005-01-01,8677620.0
"Základní škola, Kaplice, Omlenická 436",Základní škola,102075476,00583782,B00,Základní škola,Jihočeský kraj,Český Krumlov,Kaplice,Omlenická 436,38241,71.0,49,info@zsomlenicka.cz,,,Jihočeský kraj,7,Mgr. Gabriela Schicková,2005-01-01,8768099.0
"Mateřská škola, Základní škola a Praktická škola, Jindřichův Hradec, Jarošovská 1125/II","MŠ, ZŠ a Praktická škola",150077971,60816848,C00,Střední škola,Jihočeský kraj,Jindřichův Hradec,Jindřichův Hradec,Pod Hradem 124,37701,12.0,8,spec@skolajh.cz,,,Jihočeský kraj,7,Mgr. Petr Kubeš,2005-09-01,25815521.0
"Mateřská škola, Základní škola a Praktická škola, Jindřichův Hradec, Jarošovská 1125/II","MŠ, ZŠ a Praktická škola",108016811,60816848,B00,Základní škola,Jihočeský kraj,Jindřichův Hradec,Jindřichův Hradec,Jarošovská 1125,37701,246.0,172,spec@skolajh.cz,,,Jihočeský kraj,7,Mgr. Petr Kubeš,2005-01-01,25182072.0
"Základní škola, Dačice, Neulingerova 108",Základní škola,108016820,70946965,B00,Základní škola,Jihočeský kraj,Jindřichův Hradec,Dačice,Neulingerova 108,38001,177.0,123,info@zsdacice.net,,,Jihočeský kraj,7,Mgr. Bronislava Kučerová,2005-01-01,14813254.0
"Základní škola praktická, Třeboň, Jiráskova 3",Základní škola praktická,108016871,70946981,B00,Základní škola,Jihočeský kraj,Jindřichův Hradec,Rapšach,None 193,37807,126.0,88,zsptrebon@seznam.cz,,,Jihočeský kraj,7,Mgr. Karel Kanděra,2005-01-01,17311888.0
"Základní škola Pelhřimov, Komenského 1326",Základní škola,102175349,70844194,B00,Základní škola,Kraj Vysočina,Pelhřimov,Pelhřimov,Komenského 1326,39301,106.0,74,specialniskoly@pel.cz,,,Kraj Vysočina,7,Mgr. Bc. Ivana Daňhelová,2005-01-01,20142404.0
"Dětský domov, Mateřská škola, Základní škola a Praktická škola, Písek, Šobrova 111","Dětský domov, MŠ, ZŠ a Praktická škola",108054195,60869097,C00,Střední škola,Jihočeský kraj,Písek,Písek,Šobrova 111,39701,28.0,19,reditel@ddaskoly.cz,,,Jihočeský kraj,7,Mgr. Václava Tůmová,2005-01-01,5523354.0
"Dětský domov, Mateřská škola, Základní škola a Praktická škola, Písek, Šobrova 111","Dětský domov, MŠ, ZŠ a Praktická škola",110033698,60869097,B00,Základní škola,Jihočeský kraj,Písek,Písek,Šobrova 111,39701,180.0,125,reditel@ddaskoly.cz,,,Jihočeský kraj,7,Mgr. Václava Tůmová,2005-01-01,5523354.0
"Základní škola, Blatná, Holečkova 1060",Základní škola,102439184,70834814,B00,Základní škola,Jihočeský kraj,Strakonice,Mačkov,None 79,38801,96.0,67,zs.blatna@tiscali.cz,,,Jihočeský kraj,7,Mgr. Radka Kocúrová,2005-01-01,25253867.0
"Základní škola, Vodňany, nám. 5. května 104","ZŠ, Vodňany, nám. 5. května 104",102439192,70520208,B00,Základní škola,Jihočeský kraj,Strakonice,Vodňany,nám. 5. května 104,38901,54.0,37,zs-5kvetna@vodnany.cz,,,Jihočeský kraj,7,Mgr. Šárka Piklová,2005-01-01,9008667.0
"Základní škola při Dětské psychiatrické nemocnici, Opařany 160",ZŠ při Dětské psychiatrické nemocnici,102351198,70842621,B00,Základní škola,Jihočeský kraj,Tábor,Opařany,None 134,39161,184.0,128,zspridpn.oparany@dpns.cz,,,Jihočeský kraj,7,Mgr. Michal Kučera,2005-01-01,6656412.0
"Mateřská škola, základní škola speciální a praktická škola Diakonie ČCE Rolnička Soběslav","MŠ, ZŠ spec. a PrŠ Diakonie ČCE Rolnička",151027218,70806209,C00,Střední škola,Jihočeský kraj,Tábor,Soběslav,Mrázkova 700,39201,30.0,21,skola@rolnicka.cz,,,Diakonie Českobratrské církve evangelické,6,Mgr. Kamila Viktorová,2006-05-29,17410517.0
"Mateřská škola, základní škola speciální a praktická škola Diakonie ČCE Rolnička Soběslav","MŠ, ZŠ spec. a PrŠ Diakonie ČCE Rolnička",110018249,70806209,B00,Základní škola,Jihočeský kraj,Tábor,Soběslav,Mrázkova 700,39201,47.0,32,skola@rolnicka.cz,,,Diakonie Českobratrské církve evangelické,6,Mgr. Kamila Viktorová,2005-01-01,17410517.0
"Mateřská škola a Základní škola, Tábor, třída Čs. armády 925","MŠ a ZŠ, Tábor, třída Čs. armády 925",060061821,60061821,B00,Základní škola,Jihočeský kraj,Tábor,Tábor,Čsl. armády 2611,39003,187.0,130,kacerova.michaela@mazast.cz,,,Jihočeský kraj,7,Mgr. Pavla Balíková,2005-01-01,19821263.0
"Základní škola a Odborná škola, Horšovský Týn, Nádražní 89",Základní škola a Odborná škola,000574961,70842779,C00,Střední škola,Plzeňský kraj,Domažlice,Horšovský Týn,K terénu 64,34601,112.0,78,ouaprs@zs-oshtyn.cz,,,Plzeňský kraj,7,Mgr. Jana Mazancová,2005-01-01,6770819.0
"Základní škola a Odborná škola, Horšovský Týn, Nádražní 89",Základní škola a Odborná škola,102004463,70842779,B00,Základní škola,Plzeňský kraj,Domažlice,Horšovský Týn,Boženy Němcové 7,34601,160.0,112,ouaprs@zs-oshtyn.cz,,,Plzeňský kraj,7,Mgr. Jana Mazancová,2005-01-01,6774768.0
"Základní škola a mateřská škola při zdravotnických zařízeních Karlovy Vary, příspěvková organizace",ZŠ a MŠ při zdravot. zařízeních K. Vary,102104069,70838992,B00,Základní škola,Karlovarský kraj,Karlovy Vary,Karlovy Vary,Bezručova 1190,36001,244.0,170,zsmanes@volny.cz,,,Karlovarský kraj,7,Mgr. Jana Hynková,2005-01-01,26844907.0
"Základní škola Ostrov, příspěvková organizace",Základní škola Ostrov,108018423,70839000,B00,Základní škola,Karlovarský kraj,Karlovy Vary,Ostrov,Krušnohorská 304,36301,234.0,163,zastupce@zs-ostrov.cz,,,Karlovarský kraj,7,Mgr. Pavlína Zapletalová,2005-01-01,12033022.0
"Základní škola a střední škola Karlovy Vary, příspěvková organizace",Základní škola a střední škola K. Vary,000872326,66362725,C00,Střední škola,Karlovarský kraj,Karlovy Vary,Karlovy Vary,Vančurova 83,36017,108.0,75,spec-skoly@volny.cz,,,Karlovarský kraj,7,Mgr. Martina Kheilová,2005-01-01,20704755.0
"Základní škola a střední škola Karlovy Vary, příspěvková organizace",Základní škola a střední škola K. Vary,110037707,66362725,B00,Základní škola,Karlovarský kraj,Karlovy Vary,Jáchymov,None 161,36301,340.0,237,spec-skoly@volny.cz,,,Karlovarský kraj,7,Mgr. Martina Kheilová,2005-01-01,11930713.0
"Základní škola, Klatovy, Hálkova 133",Základní škola,102164690,70839042,B00,Základní škola,Plzeňský kraj,Klatovy,Klatovy,Hálkova 133,33901,146.0,102,zvs.kt@worldonline.cz,,,Plzeňský kraj,7,Mgr. Dana Kočí,2005-01-01,21505420.0
"Dětský domov se školou, základní škola a školní jídelna, Měcholupy 2","DD se školou, ZŠ a školní jídelna",110031814,61781517,B00,Základní škola,Plzeňský kraj,Klatovy,Předslav,None 2,33901,32.0,22,bittnerova@ddsmecholupy.cz,,,"Ministerstvo školství, mládeže a tělovýchovy",1,Mgr. Petra Pavlíková,2005-01-01,6983961.0
"Základní škola, Plzeň, Podmostní 1",Základní škola,049777726,49777726,B00,Základní škola,Plzeňský kraj,Plzeň-město,Plzeň,Podmostní 2398,30100,220.0,154,plzen@zspodmostni.cz,,,Plzeňský kraj,7,Mgr. Jan Špott,2005-01-01,24569402.0
"Základní škola, Plzeň, Heyrovského 23",Základní škola,049777718,49777718,B00,Základní škola,Plzeňský kraj,Plzeň-město,Plzeň,Skupova 424,30100,230.0,161,info@zshey.cz,,,Plzeňský kraj,7,Mgr. Zuzana Metlická,2005-01-01,24526321.0
"Základní škola a Mateřská škola pro zrakově postižené a vady řeči, Plzeň, Lazaretní 25",ZŠ a MŠ pro zrak.postižené a vady řeči,110031857,49778200,B00,Základní škola,Plzeňský kraj,Plzeň-město,Plzeň,Nad Týncem 1199,31200,140.0,98,skola@zrakpm.cz,,,Plzeňský kraj,7,Mgr. Věra Krňoulová,2005-01-01,24469378.0
"Základní škola a Mateřská škola pro sluchově postižené, Plzeň, Mohylová 90",ZŠ a MŠ pro sluchově postižené,110031890,49778153,B00,Základní škola,Plzeňský kraj,Plzeň-město,Plzeň,Mohylová 1200,31200,132.0,92,reditel@sluchpost-plzen.cz,,,Plzeňský kraj,7,Mgr. Jiří Pouska,2005-01-01,24469394.0
"Odborná škola výroby a služeb, Plzeň, Vejprnická 56",Odborná škola výroby a služeb,049774859,49774859,C00,Střední škola,Plzeňský kraj,Plzeň-město,Plzeň,Vejprnická 663,31800,500.0,350,info@osvsplzen.cz,,,Plzeňský kraj,7,Mgr. Lucie Vodičková,2005-01-01,24562106.0
Základní škola speciální a Praktická škola Diakonie ČCE Merklín,ZŠ spec. a Praktická škola Diakonie ČCE,181077639,71197583,C00,Střední škola,Plzeňský kraj,Klatovy,Sušice,Pod Nemocnicí 116,34201,24.0,16,kovacova@spsmerklin.cz,,,Diakonie Českobratrské církve evangelické,6,Mgr. Ivana Kováčová,2016-02-23,7019483.0
Základní škola speciální a Praktická škola Diakonie ČCE Merklín,ZŠ spec. a Praktická škola Diakonie ČCE,108005747,71197583,B00,Základní škola,Plzeňský kraj,Klatovy,Sušice,Chmelenská 117,34201,100.0,70,kovacova@spsmerklin.cz,,,Diakonie Českobratrské církve evangelické,6,Mgr. Ivana Kováčová,2005-01-01,7019491.0
"Odborná škola, Základní škola a Mateřská škola, Plzeň, Macháčkova 45","Odborná škola,Základ.škola a Mateř.škola",108032019,70839352,C00,Střední škola,Plzeňský kraj,Plzeň-město,Plzeň,Macháčkova 906,31800,62.0,43,skola@skolymach.cz,,,Plzeňský kraj,7,Mgr. Karla Adámková,2005-01-01,24564753.0
"Odborná škola, Základní škola a Mateřská škola, Plzeň, Macháčkova 45","Odborná škola,Základ.škola a Mateř.škola",110032004,70839352,B00,Základní škola,Plzeňský kraj,Plzeň-město,Plzeň,Macháčkova 904,31800,96.0,67,skola@skolymach.cz,,,Plzeňský kraj,7,Mgr. Karla Adámková,2005-01-01,24564737.0
"Základní škola, Rokycany, Čechova 40",Základní škola,048380261,48380261,B00,Základní škola,Plzeňský kraj,Rokycany,Mlečice,None 90,33808,106.0,74,zvs.rokycany@quick.cz,,,Plzeňský kraj,7,MUDr. Ivana Faitová,2005-01-01,7126549.0
"Základní škola, Stříbro, Revoluční 1431",Základní škola,102464332,70842515,B00,Základní škola,Plzeňský kraj,Tachov,Stříbro,Revoluční 1431,34901,140.0,98,reditel@zsrevolucnistribro.cz,,,Plzeňský kraj,7,Mgr. Jasmína Vaňková,2005-01-01,15725847.0
"Základní škola a Mateřská škola, Tachov, Petra Jilemnického 1995",Základní škola a Mateřská škola,102464359,70842523,B00,Základní škola,Plzeňský kraj,Tachov,Tachov,Petra Jilemnického 1995,34701,167.0,116,reditelstvi@skolatachov.cz,,,Plzeňský kraj,7,Mgr. Lenka Hovězáková,2005-01-01,15711170.0
"Základní škola a Mateřská škola při dětské léčebně, Cvikov, Ústavní 531, příspěvková organizace",ZŠ a MŠ při dětské léčebně,102005745,70842922,B00,Základní škola,Liberecký kraj,Česká Lípa,Cvikov,Ústavní 531,47154,45.0,31,speczs.cvikov@volny.cz,,,Liberecký kraj,7,PaedDr. Blanka Dvořáková,2005-01-01,16600746.0
Základní škola a Mateřská škola Klíč s.r.o.,Základní škola a Mateř.škola Klíč s.r.o.,110012658,25013564,B00,Základní škola,Liberecký kraj,Česká Lípa,Česká Lípa,Pražská 3061,47001,164.0,114,zs@skolaklic.cz,,,,5,Ing. Lucie Dolejší,2005-01-01,25707078.0
"Základní škola a Praktická škola Gabriely Pelechové, pobočný spolek",ZŠ a PrŠ Gabriely Pelechové,150068123,62231570,C00,Střední škola,Ústecký kraj,Děčín,Dolní Poustevna,Vilémovská 192,40782,18.0,12,skolygpa@interdata.cz,,,,5,Mgr. Miroslav Marek,2005-01-01,14818.0
"Základní škola a Praktická škola Gabriely Pelechové, pobočný spolek",ZŠ a PrŠ Gabriely Pelechové,110013107,62231570,B00,Základní škola,Ústecký kraj,Děčín,Dolní Poustevna,Čs. armády 142,40782,54.0,37,skolygpa@interdata.cz,,,,5,Mgr. Miroslav Marek,2005-01-01,14451.0
"Speciální základní škola, Speciální mateřská škola a Praktická škola, Děčín, příspěvková organizace","Speciální ZŠ, Speciální MŠ a PrŠ",181080109,65082133,C00,Střední škola,Ústecký kraj,Děčín,Děčín,17. listopadu 673,40502,20.0,14,reditel@specdcbynov.cz,,,Ústecký kraj,7,Mgr. Roman Stružinský,2016-07-18,210013.0
"Speciální základní škola, Speciální mateřská škola a Praktická škola, Děčín, příspěvková organizace","Speciální ZŠ, Speciální MŠ a PrŠ",102577340,65082133,B00,Základní škola,Ústecký kraj,Děčín,Děčín,17. listopadu 673,40502,305.0,213,reditel@specdcbynov.cz,,,Ústecký kraj,7,Mgr. Roman Stružinský,2005-01-01,210013.0
"Speciální základní škola a Praktická škola, Česká Kamenice, Jakubské nám. 113, příspěvková organizace",Spec. základní škola a Praktická škola,181042771,63155931,C00,Střední škola,Ústecký kraj,Děčín,Česká Kamenice,Jakubské náměstí 113,40721,20.0,14,skola@specck.cz,,,Ústecký kraj,7,Mgr. Bc. Eva Franzová,2012-11-27,94293.0
"Speciální základní škola a Praktická škola, Česká Kamenice, Jakubské nám. 113, příspěvková organizace",Spec. základní škola a Praktická škola,102577421,63155931,B00,Základní škola,Ústecký kraj,Děčín,Česká Kamenice,Jakubské náměstí 113,40721,114.0,79,skola@specck.cz,,,Ústecký kraj,7,Mgr. Bc. Eva Franzová,2005-01-01,94293.0
